id,公众号名称,封面图,简介,状态,创建时间,faker_id
MP_WXS_3561376192,腾讯投资,http://mmbiz.qpic.cn/mmbiz_png/suUT8vPSibwEeVmW8G3gEF4p9v1OuO8nY33FxuF3EG0Jsibq9fuVrtiadBOG46L7Hiajx6ViaFBlFRT7DYicY4YlDcfQ/0?wx_fmt=png,关注全球范围消费互联网和产业互联网相关领域的投资及并购，探索前沿创新与未来更多可能性，共塑长期价值。,1,2026-06-16T22:32:51.749313,MzU2MTM3NjE5Mg==
MP_WXS_3861623766,创投日报,http://mmbiz.qpic.cn/mmbiz_png/BTgYvjzWkCLYBnT3ic6aYMmgKEibSrBJuCpS7icFVPXKXjqCYbrb65oAD4jC9qwoaZ9mjjiboXR6SkcIRBergGGltg/0?wx_fmt=png,投资人都在关注的主流媒体平台，《科创板日报》出品。,1,2026-06-16T22:32:49.666939,Mzg2MTYyMzc2Ng==
MP_WXS_3245814248,清科研究,http://mmbiz.qpic.cn/mmbiz_png/2Wjib39ke92SnZhkG7QNuP5dbicb3V82ia8iabPNIp3Y63P5Ric4yiaib2zLm1j7pyltCHRyqE5L6IPU8NiaIXTK8GOAhQ/0?wx_fmt=png,清科研究中心致力于为众多的有限合伙人、VC/PE机构、战略投资者、以及政府机构、律师事务所、会计事务所、投资银行、研究机构等提供专业的信息、数据、研究和咨询服务。,1,2026-06-16T22:32:43.361543,MzI0NTgxNDI0OA==
MP_WXS_3540249594,国投创业,http://mmbiz.qpic.cn/mmbiz_png/WZaCQ8aehcXB3jxQY2JicXXoG9jsHtOW74xKxdv7v4mrx29zZfUvVuVh8EjKlDQn1eD1SicNvOkAicwAn8SUovLcQ/0?wx_fmt=png,国投创业信息资讯分享平台,1,2026-06-16T22:32:36.798168,MzU0MDI0OTU5NA==
MP_WXS_2398005720,同创伟业,http://mmbiz.qpic.cn/mmbiz_png/ic01ErFDgBD2ibbuJ032rFSmjKc5sMxibiaC7SaoW8XicTEhUIiaVWcRibrORFh5GcUwLOuFMcf1mtYkgHzZj17mQLGAA/0?wx_fmt=png,聚焦早期与早成长期投资的头部品牌机构，深耕智能制造、半导体、新能源、新材料、医疗健康、人工智能、前沿技术、产业数字化等领域。欢迎发送 BP 至：case@cowincapital.com,1,2026-06-16T22:32:32.451964,MjM5ODAwNTcyMA==
MP_WXS_2392462253,东方富海,http://mmbiz.qpic.cn/mmbiz_png/EfOFV3nGRFLB3W5Z4X28XfibCEbZbFXpoWnw5C7tCiccV43uqtCsIZInJSdldOBYc29Xdic3r85icbBF9wVTC14Qbg/0?wx_fmt=png,独具慧眼 缔造财富 沟通无价 理解万岁,1,2026-06-16T22:32:30.358231,MjM5MjQ2MjI1Mw==
MP_WXS_3541093542,达晨财智,http://mmbiz.qpic.cn/mmbiz_png/BW9ds7EaffVwNL0IIpYTfBMApBQqLjjv0yD4vVzB8TwYXDqBopWwusZSgRicDrq6znPlle5icgS3oqc84bAHOVXA/0?wx_fmt=png,做投资人满意的基金管理人、做企业家满意的长期合作伙伴、做员工满意的好平台。,1,2026-06-16T22:32:28.146446,MzU0MTA5MzU0Mg==
MP_WXS_3001006716,深圳市创新投资集团,http://mmbiz.qpic.cn/mmbiz_png/9rBpQ4WQKtZVTCyIMFTrK9FGE4yOt7mtErvqP4Kicd6oGpAgDmFNqu4JOVAoXos6aqwcAasoLxxLVRZ8B8pA25A/0?wx_fmt=png,深创投，以发现并成就伟大企业为使命，发掘和培育创新价值。期待与您携手，共创未来！,1,2026-06-16T22:32:26.048724,MzAwMTAwNjcxNg==
MP_WXS_3533780053,梅花创投,http://mmbiz.qpic.cn/mmbiz_png/O4dfE4OkDZDYZ4RLHBKTl3ZQZMDn1l4OTP0ph1P5qAeLf9E8eNsDfOekYWLGC8icyJnmPlQt7LTFIJEUXzrRgtg/0?wx_fmt=png,梅花创投成立于2014年，是国内最活跃的早期投资机构之一，目前管理约100亿人民币基金和1亿美元基金。梅花重点布局新能源、半导体、智能制造、商业航天等领域，目前已覆盖企业600余家。已携手12家企业完成上市，未来还将有50+的企业完成上市。,1,2026-06-16T22:32:23.249797,MzUzMzc4MDA1Mw==
MP_WXS_3099178528,IDG资本,http://mmbiz.qpic.cn/mmbiz_png/tmkZVANzAcvjHHrPbrtib4y2BVV2noDEDcTRMyibo2grbEds47RkTNlRuJSbGwevK1T8VjddsmlsYnt5EIM5DKNg/0?wx_fmt=png,不只是VC，还有趣味和陪伴。,1,2026-06-16T22:32:16.851192,MzA5OTE3ODUyOA==
MP_WXS_3283869944,???????,http://mmbiz.qpic.cn/mmbiz_png/jN00sibmGlhLTzw5CqNP8Nns6sian8pyibteH4pBlUhhib3ygicqlhwoxfJbPmqbMzT1nuHnZ3cOxW1w2NvaZiaehteQ/0?wx_fmt=png,????????????????,1,2026-06-16T22:29:07.599874,MzI4Mzg2OTk0NA==
MP_WXS_3002491439,云启资本,http://mmbiz.qpic.cn/sz_mmbiz_png/QyDP9qKI644p7fWLUyzicrU7sN1PBu6dPbnBDFibt3YibRXKicn4U1nibep98ricQ2cg7N9ZzuHP9qtkTTMAlVcd3l1A/0?wx_fmt=png,科技常新，寻找未来开创者,1,2026-06-16T22:13:39.287385,MzAwMjQ5MTQzOQ==
MP_WXS_3516369899,BV百度风投,http://mmbiz.qpic.cn/mmbiz_png/ibZFYxhZPeiaMjHSsrB8Mps5VcTJeQsZKOQl0tuUJGkqnII4HOyzZHpQ7eghIB4csCMOkZcxNPvpEicHhtRibuBbfA/0?wx_fmt=png,BV百度风投官方公众号,1,2026-06-16T22:13:28.576775,MzUxNjM2OTg5OQ==
MP_WXS_3888663817,英诺基金,http://mmbiz.qpic.cn/sz_mmbiz_png/RCtow4XOaSwoGXHOEXVZoAw0N30RPkqaocZMG86OHp6gaUZp9BQdNWsZj4cmrNTgTxVkUlkY84GY1dY95p6ERA/0?wx_fmt=png,英诺基金，成立于2013年，已投资创业项目500+，专注科技创新的早期投资，重点关注新一代信息技术、先进制造、新能源新材料、生物科技等领域的天使期、Pre-A阶段投资。 “投资创新，成人达己”。,1,2026-06-16T22:11:53.948874,Mzg4ODY2MzgxNw==
MP_WXS_3083073611,华创资本,http://mmbiz.qpic.cn/mmbiz_png/KoVHmRWtuzlSEWNHYcZzNOInRpW5ia5XeBiaI4yEv6ZFPMpYcgmOYjV8IfaPiaWCmrrceuibyJFrEwbOjNwgJoqlZA/0?wx_fmt=png,这里为投资者和创业者提供华创资本及华创投资组合新鲜的资讯,1,2026-06-16T22:11:37.622511,MzA4MzA3MzYxMQ==
MP_WXS_3074335831,启明创投,http://mmbiz.qpic.cn/mmbiz_png/sM89Mgg8hp3BDDvONa9sZVHgxchJUkyXtibMY5GicAYYvUNQbzSy039ZDsbHD1oQjE25oiadICP75sqtlMPpgCDuw/0?wx_fmt=png,成立于2006年，启明创投以卓越的投资业绩在中国风险投资界享有盛誉。,1,2026-06-16T22:11:06.063127,MzA3NDMzNTgzMQ==
MP_WXS_3077269080,高榕创投,http://mmbiz.qpic.cn/mmbiz_png/J80BKtESib8icTe97j1ZqFzW05icJDWQEu42e0iauUicWnVaDB45zkJic9fQc0ld8bXIicKwPODrcCJ5d4rGnjUpOIBpA/0?wx_fmt=png,我们的愿景是「创」造美好生活。相信科技、创新的力量，将让人类生活更美好。,1,2026-06-16T22:10:54.037863,MzA3NzI2OTA4MA==
MP_WXS_2391975620,纪源资本,http://mmbiz.qpic.cn/mmbiz_png/2HLzydBjNZNsYGqtdRKT06havYicsAn23uia76LSNk84PXC9kSicBQofXTmHzMKjBFx4qw8CQqgV2KjR9chMheR9w/0?wx_fmt=png,不止是VC。,1,2026-06-16T22:10:45.156780,MjM5MTk3NTYyMA==
MP_WXS_3007092856,九合创投,http://mmbiz.qpic.cn/mmbiz_png/sPvkLbTwicQkiaKGR7oHws13uQXM4OBQUMjzJpRg3dOvxXHg9nuKW6QMl7gSroJnfJ9JT3yveUosSkQqJHp8Dmcw/0?wx_fmt=png,九合创投成立于2011年，专注科技早期投资，聚焦硬科技、AI、先进制造、生物医药、能源科技等领域。九合希望做洞察未来的价值发现者，助力微小的火种成为时代伟大的企业。,1,2026-06-16T22:10:31.784794,MzAwNzA5Mjg1Ng==
MP_WXS_3094935112,源码资本,http://mmbiz.qpic.cn/mmbiz_png/llXdVGpWpOpbKmhSRiawrbZBnxVPcgicLS336MDYjCnCicSedyAJFUibXZoNgThayqFre6Piav03VTPTk0LacBZicMfA/0?wx_fmt=png,为企业创造价值，与创业者同成长,1,2026-06-16T22:10:19.283667,MzA5NDkzNTExMg==
MP_WXS_3900268149,五源资本 5Y Capital,http://mmbiz.qpic.cn/mmbiz_png/uB3CQ3SCbdfkOgGHHuhGogBe2xcciaibiaATzhncZSdrgslww0jL1OMynAsbyrfhkESYnhRulZL0N0BhDNL1ucz3g/0?wx_fmt=png,五源寻找、支持、激励孤独的创业者，为其提供从精神到所有经营运作的支持。我们相信，如果别人眼中疯狂的你，开始被相信，世界将会别开生面。,1,2026-06-16T22:10:09.561962,MzkwMDI2ODE0OQ==
MP_WXS_3887776643,锦秋集,http://mmbiz.qpic.cn/mmbiz_png/SYm5F7no2RsylOvCILxWN3vFsAyA05Mj4KvWtZSHp3vHAMBFTKDFEZNMMnQo7fiac59z1KiaibibRjcXCFI7NZIQzA/0?wx_fmt=png,锦秋基金是一家双币早期投资机构，我们长期投资那些勇敢的科技创业者，助力其造就伟大公司。,1,2026-06-16T22:09:56.456758,Mzg4Nzc3NjY0Mw==
MP_WXS_3964588091,灵机智变,http://mmbiz.qpic.cn/mmbiz_png/HBGrulnuv4Ir1AfEhvmeFyNGzuWsjg5BRfLFBha07x5fEgP1cl2eVprA7Hy2PzoMdxdBI4cT7tIjdxOiaxG3YIg/0?wx_fmt=png,科技像灵机一动一样带来智慧变革，富有活力。,1,2026-06-16T22:08:11.187302,Mzk2NDU4ODA5MQ==
MP_WXS_3211834441,AI4ELAB,http://mmbiz.qpic.cn/sz_mmbiz_png/HibJ1pwZKqQ85GSNZSkaViabDGJd3YNaQhUz0r26aRoZVk6coPrrXI3rhAqMriafpvjt161120QIWxJXxMXUm2ySw/0?wx_fmt=png,AI走进物理世界！深度内容驱动工程商业,1,2026-06-16T22:07:48.771322,MzIxMTgzNDQ0MQ==
MP_WXS_3869640945,海外独角兽,http://mmbiz.qpic.cn/mmbiz_png/3tHNibnJ2jgzoMibsThru1UavUae6DhXcebN6ZvFUjaOhRThuXC63wCoeVjianDvwBChdn84t8l5k6v0xXzkI4AbA/0?wx_fmt=png,研究科技大航海时代的伟大公司。,1,2026-06-16T22:07:15.635636,Mzg2OTY0MDk0NQ==
MP_WXS_3290105152,光源资本,http://mmbiz.qpic.cn/mmbiz_png/etqiaUjjTyntUOGkMqJ2wpvOgLbhMUAqN2tyF8fibx6v47wjM6zHG1zBy0ZJPJGPB1ApI09AiczzeFAKZqyvyV9Ng/0?wx_fmt=png,助力 1% 顶尖企业家改变世界,1,2026-06-16T22:07:00.749301,MzI5MDEwNTE1Mg==
MP_WXS_3095468354,险峰创,http://mmbiz.qpic.cn/mmbiz_png/oTnB6AQsLic2I4Yv8dRHcwicjKRF5AnQicKVzmx04XYqMpRZdib1mAZxYdWyc3yBa8MP9ydteNzVwCaiapPyEw15ibXw/0?wx_fmt=png,险峰，成就创造未来的年轻人。,1,2026-06-16T22:06:36.905050,MzA5NTQ2ODM1NA==
MP_WXS_3236757533,量子位,http://mmbiz.qpic.cn/mmbiz_png/YicUhk5aAGtCEFSVW5ubo08Zfv1qB5iapricibTBdETkBNtolJxnSUib6UXhjWWz3aib8vETY00P2lKR1uG3qLHicSoWg/0?wx_fmt=png,追踪人工智能新趋势，关注科技行业新突破,1,2026-06-16T22:05:59.459744,MzIzNjc1NzUzMw==
MP_WXS_3599245772,甲子光年,http://mmbiz.qpic.cn/mmbiz_png/58b2usHiaQI8RZbrh4qnKLgPTCyIIWuIut6sBCgsrUw8htp1WKiaBiaQyv66JJng6s6arcWJ4KVjtAWqmdKTqbebQ/0?wx_fmt=png,甲子光年是一家科技智库，包含智库、社群、企业服务版块，立足中国科技创新前沿阵地，动态跟踪头部科技企业发展和传统产业技术升级案例，推动人工智能、大数据、物联网、云计算、新能源、新材料、信息安全、大健康等科技创新在产业中的应用与落地。,1,2026-06-16T22:05:47.893921,MzU5OTI0NTc3Mg==
MP_WXS_3006123560,松禾资本,http://mmbiz.qpic.cn/mmbiz_png/ogqF3PpoqXFO5UhfCWQal8nDSw3GX5ILT2jTJ8zjUJ5FaRsMDyvGAhH84UkIgz3ZwhkCNia9wRfvuNPQ9Awl4pw/0?wx_fmt=png,重点投资数字科技、精准医疗、创新材料,1,2026-06-16T22:04:50.547117,MzAwNjEyMzU2MA==
MP_WXS_3198839841,Top华人科创社,http://mmbiz.qpic.cn/mmbiz_png/n3F2F2uvsn6nBlcFXbXvyCN7aFvT9AmCF3BFribC8Miakxu6yz5oPuYIB8qsuOB5bTQSv7jOjf5VTZq8oOguzTNQ/0?wx_fmt=png,1.社群覆盖：全球数万华人科创CEO|高管|投资人|天才少年|PhD|青年教授2.全球Top人才、资本、资源价值连接,1,2026-06-16T22:03:56.616575,MzE5ODgzOTg0MQ==
MP_WXS_3264997043,36氪,http://mmbiz.qpic.cn/mmbiz_png/QicyPhNHD5vae5iaz2AnhGezX4ecJkRqemSibPbIeH8jLoGqT2HqU0Bp4MtOfcfdVNhHzibONSk2JINYQMnV1RiaK8g/0?wx_fmt=png,36氪是服务中国新经济参与者的卓越品牌和开创性平台，提供新锐深度的商业报道，强调趋势和价值，我们的slogan是：让一部分人先看到未来。,1,2026-06-16T22:03:24.941862,MzI2NDk5NzA0Mw==
MP_WXS_3298956650,投资界,http://mmbiz.qpic.cn/mmbiz_png/PIKqwNU2vse2AOTJATS0ewHU6iaZ0gs1BziaN3VDXjMhmJ3UXicQ77m4dhicZicOEkjsiaK79WTSxpmRM97oaldN7yTg/0?wx_fmt=png,清科控股旗下创业与投资资讯平台,1,2026-06-16T22:03:15.952496,MzI5ODk1NjY1MA==
MP_WXS_2399032780,创业邦,http://mmbiz.qpic.cn/sz_mmbiz_png/03KNO9Fib2w4TrWH7ibE5Se7rUrMZxpp3IR85rAs2RzytK0jA24AM2UyRMMkbf2lsPKIHcZvMdk1SHj7TFWfbxGQ/0?wx_fmt=png,创业邦，国际创新生态服务平台。我们致力于打造全球化的创业生态，深度服务创新经济及其推动者，并为创业者提供一站式解决方案。,1,2026-06-16T22:03:04.616318,MjM5OTAzMjc4MA==
MP_WXS_2398207523,IT桔子每日投资速递,http://mmbiz.qpic.cn/mmbiz_png/l1KpLqmtPQBd4z1syMia8soXNiaWrWVyFQ4p4ibyYLwZIKHbG5lMww2TyPLfJTyRp7ib2FicmIibAzZOIFuOUgg7zM9g/0?wx_fmt=png,每天国内国外互联网及TMT行业风险投资消息速递，与你第一时间分享，新鲜活跃的内容,1,2026-06-16T22:02:50.274412,MjM5ODIwNzUyMw==
MP_WXS_2392467062,IT桔子,http://mmbiz.qpic.cn/mmbiz_png/aJaIgOk9VpciaJEG3dOmonq5kaCSrwibiccOtJnYdwZOw4Niaux7tOwNy3hSFMe5akxeicDuPiaS22qwCysz980HwV8Q/0?wx_fmt=png,新经济权威创投数据服务商，在数据中洞悉创投趋势,1,2026-06-16T22:02:43.533306,MjM5MjQ2NzA2Mg==
MP_WXS_3005020025,线性资本,http://mmbiz.qpic.cn/sz_mmbiz_png/RjdQmafrRzutLrB6SS6kA66YFzUZ28Iia3BtGHUK1nTUzpmODKtIQk5tpCGJd0bWJNRcK4OzsrUDEh8GO2aZbcA/0?wx_fmt=png,聚焦早期科技创新，致力于成为最好的「前沿科技基金Frontier Tech Fund」,1,2026-06-16T22:02:28.746914,MzAwNTAyMDAyNQ==
MP_WXS_2394991041,真格基金,http://mmbiz.qpic.cn/mmbiz_png/3EbGouibNp0GbC44webE5khZRuDR1SKjdJLvNMTH0tNIRACtXA9UclB1SAcZGmoPSibZPOfBUN4axCBjydbjsiclA/0?wx_fmt=png,专注早期投资，欢迎投递商业计划书至 dream@zhenfund.com,1,2026-06-16T22:01:57.902788,MjM5NDk5MTA0MQ==
